Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008]
Thailand,THA,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,80.08854699,79.07996876,79.00908791,79.514114,79.72102442,79.29509473,79.3933053,78.44981782,77.95046875,79.27320231,79.55783628,79.76527551,79.37638033,79.28732814,79.66408915,79.5828131,78.95214689,78.36238276,91.08554996,91.04268719,91.17451891,91.62045595,91.46191646,90.37844772,89.59390863,88.38120104,87.68441309,87.54556501,85.98848369,86.31578947,86.83274021,87.80754511,87.44394619,86.97916667,87.10045662,88.25659596,87.90450928
Kenya,KEN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,90.82812254,90.59260511,90.42417584,90.6127735,90.26931914,90.05503711,90.51835156,91.36046687,90.21391087,90.12040467,90.86415013,91.51852076,91.34392433,90.95429548,90.85649905,90.67763936,91.0952205,91.10749799,92.22118088,91.67473379,91.5451895,91.17647059,91.00580271,90.77526987,90.12219959,89.77505112,89.91097923,90.17941454,89.27125506,88.9,88.86737657,89.04977376,89.17748918,88.80208333,87.93879388,91.81008902,91.52843602
India,IND,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,71.1748656,69.89978621,70.32077409,69.90987169,70.30202107,70.84383517,71.15303095,71.44684529,71.75974801,71.70203226,71.34055326,71.61359237,71.86098526,72.25818477,72.28627417,70.8993965,71.74566762,71.23590134,94.99892527,94.93142101,94.87856031,94.79806993,94.79319355,93.79335976,92.90919952,92.10359712,91.29535417,90.47384817,89.33451347,89.00540541,88.05136795,87.95665469,87.8060166,87.85226936,87.88866837,87.89514264,87.65184889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
