Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008]
India,IND,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,13.31171942,13.31619189,13.2201359,13.02106732,12.63981689,12.34304583,12.20188725,11.96275382,12.03768213,11.77572388,11.58645397,11.2489649,10.90360165,10.9145251,10.56033555,10.88427308,10.38657701,10.45927471,1.884359103,1.963378124,2.036398079,2.121752925,2.166847237,2.942269574,3.649940263,4.29352518,4.92536479,5.558288244,6.372738839,6.383783784,6.756002233,6.652003648,6.581950207,6.417482448,6.270673849,6.149938773,6.162951097
Kenya,KEN,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,4.853581594,4.942436178,5.103919228,4.911702828,4.901914929,4.977750996,4.813618976,4.401650503,5.009599643,5.099196705,4.619776411,4.307735736,4.437574532,4.548334183,4.566540745,4.70358197,4.499068758,4.510366249,5.529522024,5.808325266,5.92808552,6.176470588,6.189555126,6.378802748,6.822810591,6.952965235,6.824925816,6.704438149,7.287449393,7.6,7.647628267,7.511312217,7.532467532,7.899305556,8.460846085,5.756676558,5.983412322
Thailand,THA,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,8.645325878,8.237407753,10.17096515,9.614309238,9.632475713,8.847102428,8.283591012,9.363425027,8.969087242,8.609022688,8.763889518,6.822813572,8.633940154,9.22095581,8.815262428,8.203656226,9.151089594,10.33138179,3.3069734,3.358992302,3.317850033,3.203943315,3.316953317,3.976908275,4.441624365,5.091383812,5.516356639,5.771567436,6.589891235,6.625386997,6.524317912,6.232914161,6.614349776,7.060185185,7.020547945,6.414899121,6.631299735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
